Unnamed: 0	auth_0	auth_1	auth_2	auth_3	auth_4	auth_5	auth_6	auth_7	auth_8	auth_9	auth_additional	auth_count	doi	journal	pmid	title	year
1171	Maughan BC	Baren JM	Shea JA	Merchant RM								4.0	10.1111/acem.12821	Acad Emerg Med	26568385	Choosing Wisely in Emergency Medicine: A National Survey of Emergency Medicine Academic Chairs and Division Chiefs.	2015
1490	Batur P	Cleland K	McNamara M	Wu J	Pickle S	EC Survey Group						6.0	10.1016/j.contraception.2015.09.003	Contraception	26363429	Emergency contraception: A multispecialty survey of clinician knowledge and practices.	2016
2279	Harper RJ	Brady WJ	Perron AD	Mangrum M								4.0	10.1053/ajem.2001.24486	Am J Emerg Med	11699000	The paced electrocardiogram: issues for the emergency physician.	2001
3482	Chen CH	Yen DH										2.0	10.1016/j.annemergmed.2017.07.013	Ann Emerg Med	29269001	Elderly Woman With Vomiting.	2018
3563	Yi-Szu W	Chung-Ping H	Tzu-Chieh L	Dar-Yu Y	Tain-Cheng W							5.0	10.1053/ajem.2000.18132	Am J Emerg Med	11103738	Chest injuries transferred to trauma centers after the 1999 Taiwan earthquake.	2000
3589	Porath JD	Meka AP	Morrow C	Iyengar R	Shtull-Leber E	Fagerlin A	Meurer WJ					7.0	10.1111/acem.13404	Acad Emerg Med	29505177	Patient Preferences for Diagnostic Testing in the Emergency Department: A Cross-sectional Study.	2018
4552	Mégarbane B	Weinberg GL										2.0	10.1016/j.ajem.2020.03.065	Am J Emerg Med	32278571	Hypotension and status epilepticus in relation to intrathecal morphine administration.	2020
4665	Bonar EE	Walton MA	Caldwell MT	Whiteside LK	Barry KL	Cunningham RM						6.0	10.1016/j.jemermed.2015.02.017	J Emerg Med	25952707	Sexually Transmitted Infection History among Adolescents Presenting to the Emergency Department.	2015
4707	Greenwood-Ericksen MB	Tipirneni R	Abir M									3.0	10.1016/j.annemergmed.2017.06.025	Ann Emerg Med	28802783	An Emergency Medicine-Primary Care Partnership to Improve Rural Population Health: Expanding the Role of Emergency Medicine.	2017
4812	Kessler CS	Afshar Y	Sardar G	Yudkowsky R	Ankel F	Schwartz A						6.0	10.1111/j.1553-2712.2012.01412.x	Acad Emerg Med	22905961	A prospective, randomized, controlled study demonstrating a novel, effective model of transfer of care between physicians: the 5 Cs of consultation.	2012
5015	Colla JS	Kotini-Shah P	Soppet S	Chen YF	Molokie R	Prajapati P	Prendergast HM					7.0	10.1016/j.ajem.2018.07.006	Am J Emerg Med	30017686	Bedside ultrasound as a predictive tool for acute chest syndrome in sickle cell patients.	2018
6400	Chuang SH	Yang WC	Yang CY	Li SY								4.0	10.1016/j.jemermed.2010.05.043	J Emerg Med	20692787	Encapsulating peritoneal sclerosis and aortic calcification with near-total occlusion.	2012
7018	Shih HC	Huang MS	Lee CH									3.0	10.1016/j.ajem.2010.12.025	Am J Emerg Med	21296525	Relation of signal in mononuclear cell with endotoxin response and clinical outcome after trauma.	2012
7083	Drescher FS	Chandrika S	Weir ID	Weintraub JT	Berman L	Lee R	Van Buskirk PD	Wang Y	Adewunmi A	Fine JM		10.0	10.1016/j.annemergmed.2010.09.018	Ann Emerg Med	21050624	Effectiveness and acceptability of a computerized decision support system using modified Wells criteria for evaluation of suspected pulmonary embolism.	2011
7504	Bohonos JJ	Hogan DE										2.0	10.1016/s0736-4679(98)00125-5	J Emerg Med	9950391	The medical impact of tornadoes in North America.	1999
8330	Carter PM	Walton MA	Zimmerman MA	Chermack ST	Roche JS	Cunningham RM						6.0	10.1111/acem.13021	Acad Emerg Med	27265097	Efficacy of a Universal Brief Intervention for Violence Among Urban Emergency Department Youth.	2016
8443	Shah R	Berzingi C	Fan TH	Askari R	Khan MR							5.0	10.1016/j.jemermed.2015.02.006	J Emerg Med	25912879	Cocaine-Induced Acute Aortic Dissection.	2015
9015	Meehan TJ											1.0	10.5811/westjem.2014.2.19509	West J Emerg Med	25035768	Wordsmithing in medical toxicology: a primer on portmanteaus.	2014
9392	Mayo-Smith MF	Spinale J										2.0	10.1016/s0736-4679(97)00077-2	J Emerg Med	9279700	Thermal epiglottitis in adults: a new complication of illicit drug use.	1997
9559	Sengupta R	Loftus TM	Doers M	Jandarov RA	Phillips M	Ko J	Panos RJ	Zafar MA				8.0	10.1111/acem.14091	Acad Emerg Med	32678934	Resting Borg score as a predictor of safe discharge of chronic obstructive pulmonary disease from the emergency department observation unit.	2020
10031	Shen SH	Chen JD	Tiu CM	Chou YH	Chang CY	Yu C						6.0	10.1053/ajem.2002.355052	Am J Emerg Med	12369031	Colonic diverticulitis diagnosed by computed tomography in the ED.	2002
10362	Anderson DK	Hall ED										2.0	10.1016/s0196-0644(05)82739-8	Ann Emerg Med	8503537	Pathophysiology of spinal cord trauma.	1993
10745	Fan JS	How CK	Chern CH	Wang LM	Huang CI	Chen JD						6.0	10.1016/j.ajem.2006.05.021	Am J Emerg Med	17157706	Acute myocardial infarction diagnosed early by multidetector computed tomography.	2007
11008	Epstein SK	Gottlieb DJ	Faling LJ									3.0	10.1016/0735-6757(93)90059-k	Am J Emerg Med	8447872	Bronchial stump disruption following inadvertent right mainstem intubation 9 years after pneumonectomy.	1993
11848	Chan W	Mason J	Grock A									3.0	10.1016/j.annemergmed.2018.03.021	Ann Emerg Med	29681309	The Long and Winding Triage Road.	2018
12198	Kessler C	Chen J	Dill C	Tyndall G	Olszyk MD							5.0	10.1016/j.ajem.2009.08.008	Am J Emerg Med	20887913	State of affairs of emergency medicine in the Veterans Health Administration.	2010
12259	Desai R	Parekh T										2.0	10.1016/j.jemermed.2020.02.033	J Emerg Med	33183680	Cannabis-Associated Stroke Presentations: No Smoke Without a Fire.	2020
13154	Smith MW	Bentley MA	Fernandez AR	Gibson G	Schweikhart SB	Woods DD						6.0	10.1016/j.annemergmed.2013.04.026	Ann Emerg Med	23787209	Performance of experienced versus less experienced paramedics in managing challenging scenarios: a cognitive task analysis study.	2013
13419	Malya RR	Ganti L										2.0	10.1016/j.annemergmed.2014.10.030	Ann Emerg Med	25481113	Is rhythm control better than rate control for new-onset atrial fibrillation in the emergency department?	2015
14045	Peters MS											1.0	10.1016/0736-4679(96)00031-5	J Emerg Med	8782032	Hospitals respond to water loss during the Midwest floods of 1993: preparedness and improvisation.	1996
14386	Kilaru AS	Lee K	Snider CK	Meisel ZF	Asch DA	Mitra N	Delgado MK					7.0	10.1111/acem.14117	Acad Emerg Med	32853423	Return Hospital Admissions Among 1419 COVID-19 Patients Discharged from Five U.S. Emergency Departments.	2020
14796	Seak CJ	Ng CJ	Yen DH	Wong YC	Hsu KH	Seak JC	Seak CK					7.0	10.1016/j.ajem.2014.09.011	Am J Emerg Med	25308825	Performance assessment of the Simplified Acute Physiology Score II, the Acute Physiology and Chronic Health Evaluation II score, and the Sequential Organ Failure Assessment score in predicting the outcomes of adult patients with hepatic portal venous gas in the ED.	2014
15495	Pellerin G	Gao K	Kaminsky L									3.0	10.1016/j.ajem.2017.08.049	Am J Emerg Med	28855065	Predicting 72-hour emergency department revisits.	2018
15616	Hu SC	Kao WF										2.0	10.1016/S0735-6757(96)90023-6	Am J Emerg Med	8630166	Outcomes in severely ill patients transported without prehospital ALS.	1996
15723	Fan JS	Huang HH	Chen YC	How CK	Yen DH							5.0	10.1016/j.ajem.2017.06.016	Am J Emerg Med	28625532	Emergency department DNR order in patients with spontaneous intracerebral hemorrhage.	2017
17020	Hooker RS	Klocko DJ	Larkin GL									3.0	10.1111/j.1553-2712.2010.00953.x	Acad Emerg Med	21166731	Physician assistants in emergency medicine: the impact of their role.	2011
17386	Liao PH	Fan JS										2.0	10.1016/j.annemergmed.2020.04.008	Ann Emerg Med	33012392	Elderly Man With a Thread Embedded in His Mouth.	2020
17647	Katz DA	Williams GC	Brown RL	Aufderheide TP	Bogner M	Rahko PS	Selker HP					7.0	10.1016/j.annemergmed.2005.04.016	Ann Emerg Med	16308068	Emergency physicians' fear of malpractice in evaluating patients with possible acute cardiac ischemia.	2005
17777	Kessler C	Scott NL	Siedsma M	Jordan J	Beach C	Coletti CM						6.0	10.1016/j.annemergmed.2014.04.022	Ann Emerg Med	24910108	Interunit handoffs of patients and transfers of information: a survey of current practices.	2014
17918	Wang AC	Chen SJ	Lee PC	Hwang BT	Tsai MC							5.0	10.1016/j.ajem.2008.02.012	Am J Emerg Med	18926373	Variant angina in an adolescent coexisting with intermittent Wolff-Parkinson-White syndrome.	2008
19015	Schechter-Perkins EM	Koppelman E	Mitchell PM	Morgan JR	Kutzen R	Drainoni ML						6.0	10.1016/j.ajem.2014.05.034	Am J Emerg Med	24993683	Characteristics of patients who accept and decline ED rapid HIV testing.	2014
20307	Medford-Davis LN	Singh H	Mahajan P									3.0	10.1016/j.pcl.2018.07.003	Pediatr Clin North Am	30446050	Diagnostic Decision-Making in the Emergency Department.	2018
20556	Johnson JR											1.0	10.1016/j.ajem.2017.07.057	Am J Emerg Med	28736093	Treatment of ED patients with bacteriuria/pyuria of clinically undetermined significance.	2017
20597	Richards JR	Laurin EG	Albertson TE									3.0	10.1016/j.jemermed.2014.09.046	J Emerg Med	25453853	"Beta-blocker use for toxicity from ""bath salts""."	2015
20606	Kessler C	Tolia VM	Xie X	Kasi R	Kutka B							5.0	10.1016/j.ajem.2009.10.001	Am J Emerg Med	20825799	Academic practice of emergency medicine in the nation's Veteran's Affairs Hospitals.	2011
20868	Chung SD	Sun HD	Yang DK	Liao CH								4.0	10.1016/j.ajem.2008.05.008	Am J Emerg Med	19041564	Primary obstructive megaureter with ruptured kidney.	2009
20970	Tueth MJ											1.0	10.1016/0735-6757(94)90162-7	Am J Emerg Med	8179753	Diagnosing psychiatric emergencies in the elderly.	1994
21410	Chen CL	Chang MH	Lee WJ									3.0	10.1016/j.jemermed.2020.01.009	J Emerg Med	32204999	A Case Report: An Acute Spinal Epidural Hematoma after Acupuncture Mimicking Stroke.	2020
21583	Farrell SE	Hopson LR	Wolff M	Hemphill RR	Santen SA							5.0	10.1016/j.jemermed.2016.05.007	J Emerg Med	27377967	What's the Evidence: A Review of the One-Minute Preceptor Model of Clinical Teaching and Implications for Teaching in the Emergency Department.	2016
21612	Omar HR	Mirsaeidi M	Mangar D	Camporesi EM								4.0	10.1016/j.ajem.2018.02.037	Am J Emerg Med	29514749	The low prevalence of pulmonary embolism in patients with syncope: What should clinicians do?	2018
21677	Jenkins TC	Knepper BC	Jason Moore S	Saveli CC	Pawlowski SW	Perlman DM	McCollister BD	Burman WJ				8.0	10.1111/acem.12727	Acad Emerg Med	26202847	Microbiology and initial antibiotic therapy for injection drug users and non-injection drug users with cutaneous abscesses in the era of community-associated methicillin-resistant Staphylococcus aureus.	2015
21952	Brucker K	Duggan C	Niezer J	Roseberry K	Le-Niculescu H	Niculescu AB	Kline JA					7.0	10.1111/acem.13562	Acad Emerg Med	30375082	Assessing Risk of Future Suicidality in Emergency Department Patients.	2019
22232	Collins S	Storrow AB	Albert NM	Butler J	Ezekowitz J	Felker GM	Fermann GJ	Fonarow GC	Givertz MM	Hiestand B	['Hollander JE', 'Lanfear DE', 'Levy PD', 'Pang PS', 'Peacock WF', 'Sawyer DB', 'Teerlink JR', 'Lenihan DJ', 'SAEM/HFSA Acute Heart Failure Working Group']	19.0	10.1016/j.cardfail.2014.07.003	J Card Fail	25042620	Early management of patients with acute heart failure: state of the art and future directions. A consensus document from the society for academic emergency medicine/heart failure society of America acute heart failure working group.	2015
22601	Lu YW	Tsai YL	Chang CC	Huang PH								4.0	10.1016/j.ajem.2017.11.046	Am J Emerg Med	29169886	A potential diagnostic pitfall in acute chest pain: Massive pulmonary embolism mimicking acute STEMI.	2018
25009	Rogers IR	Hoffman MD										2.0	10.1016/j.ajem.2014.02.049	Am J Emerg Med	24768336	Etiology and management of exercise-associated hyponatremic encephalopathy (EAHE).	2014
25017	Hern HG	Gallahue FE	Burns BD	Druck J	Jones J	Kessler C	Knapp B	Williams S	Representing the Council of Residency Directors, Transitions of Care Task Force			9.0	10.1111/acem.12867	Acad Emerg Med	26765246	Handoff Practices in Emergency Medicine: Are We Making Progress?	2016
25037	Peck JS	Gaehde SA	Nightingale DJ	Gelman DY	Huckins DS	Lemons MF	Dickson EW	Benneyan JC				8.0	10.1111/acem.12244	Acad Emerg Med	24238319	Generalizability of a simple approach for predicting hospital admission from an emergency department.	2013
25066	Johnson TJ	Hickey RW	Switzer GE	Miller E	Winger DG	Nguyen M	Saladino RA	Hausmann LR				8.0	10.1111/acem.12901	Acad Emerg Med	26763939	The Impact of Cognitive Stressors in the Emergency Department on Physician Implicit Racial Bias.	2016
26308	Prasarn ML	Horodyski M	Schneider P	Wendling A	Hagberg CA	Rechtine GR						6.0	10.1016/j.jemermed.2015.09.009	J Emerg Med	26475486	The Effect of Cricoid Pressure on the Unstable Cervical Spine.	2016
26680	Cole JL											1.0	10.1016/j.jemermed.2020.01.019	J Emerg Med	32241707	Acetazolamide Causes Worsening Acidosis in Uncompensated COPD Exacerbations: Increased Awareness Needed for Patient Safety.	2020
27153	Paddock M	Cardy V	Grock A	Mason J								4.0	10.1016/j.annemergmed.2018.09.031	Ann Emerg Med	30342729	Asymptomatic and Under Pressure.	2018
27219	Lasoff DR	Schneir A										2.0	10.1016/j.jemermed.2015.11.017	J Emerg Med	26794455	Ventricular Dysrhythmias from Loperamide Misuse.	2016
27441	Schlesinger SA											1.0	10.1016/j.annemergmed.2014.12.013	Ann Emerg Med	25601252	Commentary: Side impact air bags: mitigating risk in the era of the SUV.	2015
28166	Shiau EL	Wu FZ	Huang YL	Wu MT								4.0	10.1016/j.ajem.2013.05.036	Am J Emerg Med	23790481	Aortic intramural hematoma with pulmonary artery extension mimics pulmonary embolism.	2013
28216	O'Connell CW	Sadler CA	Tolia VM	Ly BT	Saitman AM	Fitzgerald RL						6.0	10.1016/j.annemergmed.2014.12.019	Ann Emerg Med	25805032	Overdose of etizolam: the abuse and rise of a benzodiazepine analog.	2015
29006	Kizer KW	Pane GA										2.0	10.1016/s0196-0644(97)70053-2	Ann Emerg Med	9398778	"The ""new VA"": delivering health care value through integrated service networks."	1997
29045	Hastings SN	Horney C	Landerman LR	Sanders LL	Hocker MB	Schmader KE						6.0	10.1111/j.1553-2712.2010.00870.x	Acad Emerg Med	21040110	Exploring patterns of health service use in older emergency department patients.	2010
29280	Baer G	Akers S	Grossman M	Soper R	Tayoun P	Brown S						6.0	10.1016/j.annemergmed.2016.01.035	Ann Emerg Med	27568447	Man With Right-Sided Abdominal Pain.	2016
29882	Unterman S	Kessler C	Pitzele HZ									3.0	10.1016/j.ajem.2009.04.025	Am J Emerg Med	20579561	Staffing of the ED by non-emergency medicine-trained personnel: the VA experience.	2010
30004	Beri N	Marston NA	Daniels LB	Nowak RM	Schreiber D	Mueller C	Jaffe A	Diercks DB	Wettersten N	DeFilippi C	['Peacock WF', 'Limkakeng AT', 'Anand I', 'McCord J', 'Hollander JE', 'Wu AHB', 'Apple FS', 'Nagurney JT', 'Berardi C', 'Cannon CM', 'Clopton P', 'Neath SX', 'Christenson RH', 'Hogan C', 'Vilke G', 'Maisel A']	26.0	10.1016/j.ajem.2016.10.072	Am J Emerg Med	27847253	Necessity of hospitalization and stress testing in low risk chest pain patients.	2017
30621	Chiu YH	How CK	Chern CH	Wang LM	Huang CI							5.0	10.1016/j.ajem.2006.11.019	Am J Emerg Med	17276846	Cardiac rescue with intra-aortic balloon counterpulsation in refractory shock due to acute meningococcemia.	2007
31085	Nelson RE	Stockmann C	Hersh AL	Pavia AT	Korgenksi K	Daly JA	Couturier MR	Ampofo K	Thorell EA	Doby EH	['Robison JA', 'Blaschke AJ']	12.0	10.1097/INF.0000000000000703	Pediatr Infect Dis J	25973935	Economic analysis of rapid and sensitive polymerase chain reaction testing in the emergency department for influenza infections in children.	2015
31512	Kessler CS											1.0	10.1016/j.jemermed.2009.02.002	J Emerg Med	19303236	One foley, two foley, red foley, blue foley.	2009
31906	Collins SP	Levy PD	Martindale JL	Dunlap ME	Storrow AB	Pang PS	Albert NM	Felker GM	Fermann GJ	Fonarow GC	['Givertz MM', 'Hollander JE', 'Lanfear DE', 'Lenihan DJ', 'Lindenfeld JM', 'Peacock WF', 'Sawyer DB', 'Teerlink JR', 'Butler J']	19.0	10.1111/acem.13025	Acad Emerg Med	27286136	Clinical and Research Considerations for Patients With Hypertensive Acute Heart Failure: A Consensus Statement from the Society for Academic Emergency Medicine and the Heart Failure Society of America Acute Heart Failure Working Group.	2016
32182	Sun BC	Hoffman JR	Mower WR	Shlamovitz GZ	Gabayan GZ	Mangione CM						6.0	10.1016/j.annemergmed.2007.04.006	Ann Emerg Med	17559972	Low diagnostic yield of electrocardiogram testing in younger patients with syncope.	2008
32209	Shaban A	Zafar A	Borte B	Elhawi Y	Maamar-Tayeb A	Eyck PT	Ahmed A	Wattiez AS	Fattal D			9.0	10.1016/j.jemermed.2020.10.052	J Emerg Med	33308916	The Bucket Test Improves Detection of Stroke in Patients With Acute Dizziness.	2021
33311	Radecki RP	McNaughton CD	Spiegel RS									3.0	10.1016/j.annemergmed.2019.12.018	Ann Emerg Med	31959314	Everything Cold Is New Again: February 2020 Annals of Emergency Medicine Journal Club.	2020
33397	Young GP	Hedges JR	Gibler WB	Green TR	Swanson R							5.0	10.1016/s0196-0644(05)81475-1	Ann Emerg Med	1952309	Do CK-MB results affect chest pain decision making in the emergency department?	1991
34271	Asche CV	Kim M	Brown A	Golden A	Laack TA	Rosario J	Strother C	Totten VY	Okuda Y			9.0	10.1111/acem.13327	Acad Emerg Med	28965366	Communicating Value in Simulation: Cost-Benefit Analysis and Return on Investment.	2018
34483	Salemis NS	Oikonomakis I	Lagoudianakis E	Boubousis G	Tsakalakis C	Sourlas S	Gourgiotis S					7.0	10.1016/j.ajem.2014.05.026	Am J Emerg Med	24972961	Enoxaparin-induced spontaneous massive retroperitoneal hematoma with fatal outcome.	2014
35091	Chern CH	How CK	Huang LJ									3.0	10.1016/j.annemergmed.2005.12.027	Ann Emerg Med	16857472	Images in emergency medicine. Necrotizing fasciitis caused by Aeromonas hydrophila.	2006
35195	Knapp H	Hagedorn H	Anaya HD									3.0	10.1016/j.ajem.2014.04.043	Am J Emerg Med	24908442	HIV rapid testing in a Veterans Affairs hospital ED setting: a 5-year sustainability evaluation.	2014
35481	Chavez CW	Binder B										2.0	10.1016/0736-4679(96)00083-2	J Emerg Med	8842918	A hospital as victim and responder: the Sepulveda VA Medical Center and the Northridge earthquake.	1996
35817	Gabayan GZ	Gould MK	Weiss RE	Patel N	Donkor KA	Chiu VY	Yiu SC	Jones JP	Hoffman JR	Sarkisian CA		10.0	10.1016/j.annemergmed.2016.01.007	Ann Emerg Med	26947799	Poor Outcomes After Emergency Department Discharge of the Elderly: A Case-Control Study.	2016
36234	Shih HC	Su CH	Lee CH									3.0	10.1016/s0735-6757(99)90005-0	Am J Emerg Med	9928689	Superoxide production of neutrophils after severe injury: impact of subsequent surgery and sepsis.	1999
36268	Han JH	Vasilevskis EE	Schnelle JF	Shintani A	Dittus RS	Wilson A	Ely EW					7.0	10.1111/acem.12706	Acad Emerg Med	26113020	The Diagnostic Performance of the Richmond Agitation Sedation Scale for Detecting Delirium in Older Emergency Department Patients.	2015
36334	Carmelli G	Grock A	Picart E	Mason J								4.0	10.1016/j.annemergmed.2018.04.004	Ann Emerg Med	29776497	The Nitty-Gritty of Clinical Decision Rules.	2018
36834	Lasoff DR	Ruha AM	Curry SC	Koh C	Clark RF							5.0	10.1016/j.ajem.2016.07.061	Am J Emerg Med	27567423	A new F(ab')<sub>2</sub> antivenom for the treatment of crotaline envenomation in children.	2016
37292	Dermody SM	Masciello M	Malekzadeh S									3.0	10.1002/lary.29264	Laryngoscope	33174622	A Multispecialty Critical Airway Simulation Course for Medical Students.	2021
37624	Elfessi Z	Liu E	Dukarevich Y	Caniff K	Marquez K	Shabbir Z						6.0	10.1016/j.ajem.2019.158428	Am J Emerg Med	31522927	Sepsis induced bacterial peritonitis caused by Granulicatella adiacens.	2019
37849	Chia-Yu Chang J	Hsu TF	How CK									3.0	10.1016/j.jemermed.2014.09.050	J Emerg Med	25455475	Acute urine retention with two giant urinary bladder diverticula.	2015
37881	Jung E	Kye YC	Park C	Lee J	Park JR	Lee KH	Kim SS	Kim D	Kim D			9.0	10.1016/j.ajem.2019.11.009	Am J Emerg Med	31787445	Ultrasound-guided analgesic injection for acromioclavicular joint - For better safety.	2020
38397	Grzybowski M	Younger JG										2.0	10.1111/j.1553-2712.1997.tb03793.x	Acad Emerg Med	9262704	Statistical methodology: III. Receiver operating characteristic (ROC) curves.	1997
39170	Sue MA	Noritake DT	Klaustermeyer WB									3.0	10.1016/0735-6757(88)90245-8	Am J Emerg Med	3415739	Penicillin anaphylaxis: fatality in elderly patients without a history of penicillin allergy.	1988
39233	Metlay JP	Camargo CA	MacKenzie T	McCulloch C	Maselli J	Levin SK	Kersey A	Gonzales R	IMPAACT Investigators			9.0	10.1016/j.annemergmed.2007.03.022	Ann Emerg Med	17509729	Cluster-randomized trial to improve antibiotic use for adults with acute respiratory infections treated in emergency departments.	2007
39685	Shih HC	Liu M	Wu JK	Hung MS	Ko TJ	Lee CH	Lui WY					7.0	10.1016/0735-6757(95)90249-X	Am J Emerg Med	7832963	Blunt gastrointestinal injury in trauma patients.	1995
39930	Goldberg EM	Marks SJ	Resnik LJ	Long S	Mellott H	Merchant RC						6.0	10.1016/j.annemergmed.2020.07.025	Ann Emerg Med	32854965	Can an Emergency Department-Initiated Intervention Prevent Subsequent Falls and Health Care Use in Older Adults? A Randomized Controlled Trial.	2020
41008	Gianos ME	Klaustermeyer WB	Kurohara M	Tarnasky P	Gordon E							5.0	10.1016/0735-6757(90)90198-9	Am J Emerg Med	2302280	Enalapril induced angioedema.	1990
41256	Mohr NM	Harland KK	Crabb V	Mutnick R	Baumgartner D	Spinosi S	Haarstad M	Ahmed A	Schweizer M	Faine B		10.0	10.1111/acem.12894	Acad Emerg Med	26782662	Urinary Squamous Epithelial Cells Do Not Accurately Predict Urine Culture Contamination, but May Predict Urinalysis Performance in Predicting Bacteriuria.	2016
42016	Parker JJ	Svingos RS	Reeder DN	Grieser E								4.0	10.1016/j.jemermed.2012.11.067	J Emerg Med	23522955	A rare cause of blindness.	2013
42217	Wang JC	Tsai SH	Chen YL	Hsu CW	Lai KC	Liao WI	Li LY	Kao WF	Fan JS	Chen YH		10.0	10.1016/j.ajem.2014.07.007	Am J Emerg Med	25154345	The physiological effects and quality of chest compressions during CPR at sea level and high altitude.	2014
42644	Doyle RJ	Elfessi Z	Kolman K									3.0	10.1016/j.ajem.2018.06.040	Am J Emerg Med	30001816	Fixed dose 4-factor prothrombin complex concentrate for bleeding caused by long acting anticoagulant rodenticides.	2018
43575	Kanzaria HK	Hoffman JR	Probst MA	Caloyeras JP	Berry SH	Brook RH						6.0	10.1111/acem.12625	Acad Emerg Med	25807868	Emergency physician perceptions of medically unnecessary advanced diagnostic imaging.	2015
44036	Dieujuste N	Johnson-Koenke R	Christopher M	Gunzburger EC	Emmendorfer T	Kessler C	Haukoos J	Smith J	Sasson C			9.0	10.1111/acem.13980	Acad Emerg Med	32239558	Feasibility Study of a Quasi-experimental Regional Opioid Safety Prescribing Program in Veterans Health Administration Emergency Departments.	2020
44109	How CK	Hou SK	Shih HC	Yen DH	Huang CI	Lee CH	Tang GJ					7.0	10.1016/j.ajem.2010.01.010	Am J Emerg Med	20825846	Usefulness of triggering receptor expressed on myeloid cells-1 in differentiating between typical and atypical community-acquired pneumonia.	2011
44938	Mathioulakis S	Liverakou E	Gourgiotis S	Salemis NS								4.0	10.1016/j.ajem.2014.03.030	Am J Emerg Med	24746859	Choloperitoneum causes extensive coloring of the abdominal wall skin.	2014
44970	Evans CS	Gerardo CJ										2.0	10.1016/j.annemergmed.2014.12.026	Ann Emerg Med	25805034	The copperhead coagulopathy conundrum.	2015
45630	Reeves RR	Pendarvis EJ	Kimble R									3.0	10.1053/ajem.2000.7318	Am J Emerg Med	10919525	Unrecognized medical emergencies admitted to psychiatric units.	2000
46333	Kanzaria HK	Probst MA	Ponce NA	Hsia RY								4.0	10.1016/j.ajem.2014.07.038	Am J Emerg Med	25176565	The association between advanced diagnostic imaging and ED length of stay.	2014
46610	MacNeill EC	Cabey W	Kluge R	Norton J	Mitchell AM							5.0	10.1111/acem.13100	Acad Emerg Med	27717129	Emergency Department Utilization in Children <36 Months Is Not an Independent Risk Factor for Maltreatment.	2016
46620	Lemoine N	Dajer A	Konwinski J	Cavanaugh D	Besthoff C	Singh H						6.0	10.1002/jhrm.21321	J Healthc Risk Manag	29752833	Understanding diagnostic safety in emergency medicine: A case-by-case review of closed ED malpractice claims.	2018
46894	Kessler CS	Dharmapuri S	Marcolini EG									3.0	10.1016/j.annemergmed.2011.06.011	Ann Emerg Med	21820211	Qualitative analysis of effective lecture strategies in emergency medicine.	2011
